ID,Conflict,Name,Side
791,United States invasion of Panama,Panama,Opponents
792,Gulf War,Iraq,Opponents
793,Iraqi No-Fly Zone Enforcement Operations,Iraq,Opponents
794,First U.S. Intervention in the Somali Civil War,Somali National Alliance,Opponents
795,Bosnian War and Croatian War,Republika Srpska,Opponents
796,Bosnian War and Croatian War,Serbian Krajina,Opponents
797,Bosnian War and Croatian War,Western Bosnia,Opponents
798,Intervention in Haiti,Haiti,Opponents
799,Kosovo War,FR Yugoslavia,Opponents
800,War in Afghanistan,Taliban (Haqqani network),Opponents
801,War in Afghanistan,Allied groups (Hezb-e-Islami Gulbuddin,Opponents
802,War in Afghanistan,al-Qaeda,Opponents
803,War in Afghanistan,Islamic Jihad Union - Islamic Movement of Uzbekistan),Opponents
804,War in Afghanistan,Taliban splinter groups (Fidai Mahaz),Opponents
805,War in Afghanistan,IS-Affiliates:Islamic State – Khorasan Province,Opponents
806,War in Afghanistan,2001 Invasion:Islamic Emirate of Afghanistan,Opponents
807,War in Afghanistan,Talibani Army,Opponents
808,War in Afghanistan,Salafist extremists,Opponents
809,War in Afghanistan,055 Brigade,Opponents
810,US intervention in Yemen,al-Qaeda in the Arabian PeninsulaAnsar al-ShariaIslamic State of Iraq and the Levant – Yemen ProvinceYemenRevolutionary Committee/Supreme Political CouncilHouthi movementYemen Armed ForcesYemeni Republican Guard,Opponents
811,Iraq War,Post-invasion (2003–2011) - Ba'ath Loyalists,Opponents
812,Iraq War,Supreme Command for Jihad and Liberation,Opponents
813,Iraq War,Naqshbandi Army,Opponents
814,Iraq War,DulaimTribes,Opponents
815,Iraq War,Sunni insurgents (al-Qaeda in Iraq,Opponents
816,Iraq War,Islamic State of Iraq,Opponents
817,Iraq War,Ansar al-Sunnah,Opponents
818,Iraq War,Islamic Army of Iraq),Opponents
819,Iraq War,Shia insurgents (Mahdi Army,Opponents
820,Iraq War,Special Groups,Opponents
821,Iraq War,Asa'ib Ahl al-Haq,Opponents
822,Iraq War,Invasion phase (2003) - Iraq DulaimTribes,Opponents
823,Iraq War,MEK,Opponents
824,Iraq War,Ansar al-Islam,Opponents
825,Iraq War,Islamic Emirate of Byara,Opponents
826,US intervention in the War in North-West Pakistan,Jihadists:Taliban,Opponents
827,US intervention in the War in North-West Pakistan,Tehrik-i-Taliban Pakistan,Opponents
828,US intervention in the War in North-West Pakistan,Haqqani network,Opponents
829,US intervention in the War in North-West Pakistan,al-Qaeda,Opponents
830,US intervention in the War in North-West Pakistan,Lashkar-e-Jhangvi,Opponents
831,US intervention in the War in North-West Pakistan,Foreign Mujahideen,Opponents
832,US intervention in the War in North-West Pakistan,Uzbek Islamic Movement,Opponents
833,US intervention in the War in North-West Pakistan,Turkistan Islamic Party,Opponents
834,US intervention in the War in North-West Pakistan,Tehreek-e-Nafaz-e-Shariat-e-Mohammad,Opponents
835,US intervention in the War in North-West Pakistan,iIslamic State of Iraq and the Levant – Khorasan Province,Opponents
836,Second US Intervention in the Somali Civil War,Jihadists:al-Shabaab,Opponents
837,Second US Intervention in the Somali Civil War,Mujahideen,Opponents
838,Second US Intervention in the Somali Civil War,Hizbul Islam,Opponents
839,Second US Intervention in the Somali Civil War,Islamic State in Somalia,Opponents
840,Operation Ocean Shield,Somali pirates,Opponents
841,International intervention in Libya,Libyan Arab Jamahiriya,Opponents
842,International intervention in Libya,Remnants of Libyan Arab Jamahiriya (After August 28) - Gaddafi Loyalists,Opponents
843,International intervention in Libya,Libyan Armed Forces,Opponents
844,International intervention in Libya,Libyan Navy,Opponents
845,International intervention in Libya,Libyan Air Force,Opponents
846,International intervention in Libya,Paramilitary forces,Opponents
847,International intervention in Libya,Pro-Gaddafi militias and tribes,Opponents
848,International intervention in Libya,Mercenaries (alleged),Opponents
849,Operation Observant Compass,Lord's Resistance Army,Opponents
850,US military intervention in Niger,Jihadists: Al-Qaeda,Opponents
851,US military intervention in Niger,Nusrat al-Islam,Opponents
852,US military intervention in Niger,Islamic State of Iraq and Syria,Opponents
853,US military intervention in Niger,Islamic State – West Africa Province,Opponents
854,US military intervention in Niger,Islamic State in the Greater Sahara,Opponents
855,US military intervention in Niger,Boko Haram(partially aligned with,Opponents
856,US military intervention in Niger,ISIL since 2015),Opponents
857,US-led intervention in Iraq,Jihadists: Islamic State of Iraq and Syria,Opponents
858,US-led intervention in Iraq,White Flags,Opponents
859,US intervention in the Syrian civil war,Islamic State of Iraq and Syria,Opponents
860,US intervention in the Syrian civil war,al-Qaeda linked groups:al-Nusra Front,Opponents
861,US intervention in the Syrian civil war,Khorasan group,Opponents
862,US intervention in the Syrian civil war,Tahrir al-Sham,Opponents
863,US intervention in the Syrian civil war,Jaysh al-Sunna,Opponents
864,US intervention in the Syrian civil war,Jund al-Aqsa,Opponents
865,US intervention in the Syrian civil war,Rouse the Believers,Opponents
866,US intervention in the Syrian civil war,Guardians of Religion Organization,Opponents
867,US intervention in the Syrian civil war,Turkistan Islamic Party in Syria,Opponents
868,US intervention in the Syrian civil war,Ahrar al-Sham,Opponents
869,US intervention in the Syrian civil war,Syria (limited encounters with US and Israel),Opponents
870,US intervention in the Syrian civil war,Supported by:Russia,Opponents
871,US intervention in the Syrian civil war,Iran,Opponents
872,US intervention in the Syrian civil war,Kata'ib Hezbollah,Opponents
873,US intervention in Libya,Jihadists: Islamic State in Libya,Opponents
874,US intervention in Libya,al-Qaeda in the Islamic Maghreb,Opponents
875,Operation Prosperity Guardian,Yemen,Opponents
876,Operation Prosperity Guardian,Supreme Political Council,Opponents
877,Operation Prosperity Guardian,Houthi movement,Opponents
