Conflict,Century,Year,Location,Allies,Opponent(s),Result for the United States and its Allies,Presidents of the United States,
World War II,20th Century,"1939-1945,direct U.S. involvement in 1941-1945","Europe, Pacific Ocean, Atlantic Ocean, Southeast Asia, East Asia, Middle East, Mediterranean, North Africa, Oceania, North and South America ","French Republic, British Empire, United States (since 1941), Soviet Union (since 1941), Republic of Poland, Czechoslovak Republic, Kingdom of Yugoslavia, Kingdom of Greece, Denmark, Norway, Netherlands, Belgium, Luxembourg, Republic of Cuba, Republic of Haiti, Argentina, Brazil, Mexico, Chile, Peru, United States of Venezuela, Liberia, Kingdom of Egypt, Ethiopian Empire, Union of South Africa, Sultanate of Muscat and Oman, Kingdom of Nepal, Republic of China, Mongolian People's Republic, Commonwealth of the Philippines, Viet Minh, Korean Provisional Government","Nazi Germany, Empire of Japan, Kingdom of Italy, Soviet Union (in 1939-1941), Kingdom of Hungary, Kingdom of Romania, Kingdom of Bulgaria, Slovak Republic, Independent State of Croatia, Finland, Kingdom of Iraq, Thailand, Manchukuo, Mengjiang","US-allied victory: Collapse of Nazi Germany. Fall of Japanese Empire and Italian Empire. Creation of the United Nations. Creation of the NATO. Creation of the European Coal and Steel Community, which led to the creation of today's European Union. Emergence of the United States and the Soviet Union as rival super powers. Beginning of the Cold War (1947-1991). Beginning of the Atomic Age. Germany and Austria, as well as their capitals, Berlin and Vienna, respectively, divided into four occupation zones each, one for each of the United States, France, the United Kingdom, and the Soviet Union","Franklin D. Roosevelt (March 4, 1933 - April 12, 1945), Harry S. Truman (April 12, 1945 - January 20, 1953)",
Korean War,20th Century,1950-1953,Korea,"South Korea, United Nations, United States, United Kingdom, Australia, Belgium, Canada, France, Philippines, Colombia, Ethiopian Empire, Kingdom of Greece, Luxembourg, Netherlands, New Zealand, Spanish State, Union of South Africa, Thailand, Turkey","North Korea, China, Soviet Union, Supported by:East Germany, Czechoslovak Republic, Hungarian People's Republic, Polish People's Republic, Romanian People's Republic, People's Republic of Bulgaria, Mongolian People's Republic",Inconclusive/Other Result: UNSC Resolution 83 goals achieved. North Korean invasion of South Korea repelled. South Korean statehood preserved. Subsequent United Nations invasion of North Korea repelled.Subsequent Chinese-North Korean invasion of South Korea repelled. Korean Armistice Agreement. Korean Demilitarized Zone established in 1953,"Harry S. Truman (April 12, 1945 - January 20, 1953), Dwight D. Eisenhower January 20, 1953 - January 20, 1961)",
Vietnam War,20th Century,"1955-1964[a], 1965-1973[b], 1974-1975[c]","Vietnam, Cambodia, and Laos ","South Vietnam, United States, South Korea, Australia, New Zealand, Thailand, Philippines, Kingdom of Laos, Khmer Republic","North Vietnam, Viet Cong, Pathet Lao, Khmer Rouge, China, Soviet Union, North Korea, Supported by:East Germany, Czechoslovak Socialist Republic, Hungarian People's Republic, Polish People's Republic, Socialist Republic of Romania, People's Republic of Bulgaria, Cuba",North Vietnam-allied victory: Withdrawal of American forces from Indochina. North Vietnamese victory over South Vietnam. Reunification of North Vietnam and South Vietnam into the communist state. Socialist Republic of Vietnam.Communist governments take power also in Laos and Cambodia,"Dwight D. Eisenhower (January 20, 1953 - January 20, 1961), John F. Kennedy (January 20, 1961 - November 22, 1963), Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974), Gerald Ford (August 9, 1974 - January 20, 1977)",
Laotian Civil War,20th Century,1959-1975,Laos ,"Kingdom of Laos, United States, South Vietnam, Thailand, Supported by:Philippines, Taiwan","Pathet Lao, North Vietnam, Supported by:China, Soviet Union, East Germany, Czechoslovak Socialist Republic, Socialist Republic of Romania, Cuba",Pathet Lao-allied victory: Fall of the Kingdom of Laos. Establishment of the communist state Lao People's Democratic Republic,"Dwight D. Eisenhower (January 20, 1953 - January 20, 1961), John F. Kennedy (January 20, 1961 - November 22, 1963), Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974), Gerald Ford (August 9, 1974 - January 20, 1977)",
Permesta Rebellion,20th Century,1958-1961,Indonesia ,"Permesta, United States",Indonesia,Indonesian government victory: Permesta surrendered to Indonesia government,Dwight D. Eisenhower,
Lebanon crisis,20th Century,1958,Lebanon ,"Lebanon, United States","Lebanese opposition: INM, LCP, PSP",US-allied victory: US-Lebanese occupation of the port and international airport of Beirut,Dwight D. Eisenhower,
Bay of Pigs Invasion,20th Century,1961,Cuba ,"CDRF, United States",Cuba,Cuban government victory: Failure to topple Castro's government. United States sponsored Brigade 2506 (Cuban exiles) defeated. Increased cooperation between Cuba and theSoviet Union,John F. Kennedy,
Dominican Civil War,20th Century,1965-1966,Dominican Republic ,"Dominican Loyalists, United States, IAPF (Brazil, Paraguay, Nicaragua, Costa Rica, El Salvador, Honduras)",Dominican Constitutionalists,US-allied victory: Fall of the Boschregime. Joaquín Balaguer elected as the new president,Lyndon B. Johnson,
Korean DMZ Conflict,20th Century,1966-1969,Korean Demilitarized Zone ,"South Korea, United States",North Korea,US-allied victory: North Korean failure to launch an insurgency in South Korea,"Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974)",
Cambodian Civil War,20th Century,1967-1975,Cambodia ,"Kingdom of Cambodia (1967-1970), Khmer Republic (1970-1975), United States, South Vietnam, Supported by:Australia, Canada, France, Thailand","National United Front of Kampuchea, Khmer Rouge, Khmer Rumdo, Khmer Việt Minh, North Vietnam, Việt Cộng, Supported by:China, Soviet Union, North Korea, Czechoslovak Socialist Republic, Socialist Republic of Romania, Cuba",Khmer Rouge-allied victory: Fall of the Kingdom of Cambodia. Creation but eventual collapse of the Khmer Republic. Creation of the Democratic Kampuchea. Beginning of the Cambodian genocide,"Lyndon B. Johnson (November 22, 1963 - January 20, 1969), Richard Nixon (January 20, 1969 - August 9, 1974), Gerald Ford (August 9, 1974 - January 20, 1977)",
