Conflict,Century,Year,Location,Allies,Opponent(s),Result for the United States and its Allies,Presidents of the United States,
American Revolutionary War,18th Century,1775-1783,Eastern and Southern North America,"United States, Kingdom of France, Canadian Auxiliaries, Spanish Empire, Iroquois, Oneida, Tuscarora, Watauga  Association, Catawba, Lenape, Choctaw, Dutch Republic, Mysore","Great Britain, Loyalists, German Auxiliaries, Iroquois, Onondaga, Cayuga, Seneca, Cherokee",US-allied victory:The American Revolution started as a civil war within the British Empire. It became a larger international war in 1778 once France joined. Treaty of Paris (1783). Britain recognizes the independence of the United States of America and theThirteen Colonies.,"President of the Continental Congress in American Revolutionary War:John Hancock, Henry Laurens, John Jay, Samuel Huntington, Thomas McKean, John Hanson, Elias Boudinot, Thomas Mifflin, Richard Henry Lee, John Hancock, Nathaniel Gorham, Arthur St. Clair, Cyrus Griffin",
Cherokee-American wars,18th Century,1776-1795,Old Southwest,"United States, Choctaw",Cherokee,US-allied victory,"President of the Continental Congress in Cherokee-American wars:John Hancock, Henry Laurens, John Jay, Samuel Huntington, Thomas McKean, John Hanson, Elias Boudinot, Thomas Mifflin, Richard Henry Lee, John Hancock, Nathaniel Gorham, Arthur St. Clair, Cyrus Griffin, residents of the United States:George Washington",
Northwest Indian War,18th Century,1785-1793,Northwest Territory,"United States, Chickasaw, Choctaw","Western Confederacy, Great Britain, British North America",US-allied victory: Treaty of Greenville (1795). American occupation of the Northwest Territory,George Washington,
American-Algerian War,18th Century,1785-1795,Mediterranean Sea and Atlantic Ocean,United States,Regency of Algiers,"Algerian victory: Establishment of theAmerican navy through the Naval Act of 1794. America pay an annual tribute of $21,600. $1 million offered to the Dey",George Washington,
Quasi-War,18th Century,1798-1800,"Atlantic Ocean, the Caribbean, the Indian Ocean and the Mediterranean","United States, Co-belligerent: Great Britain","French Republic, Guadeloupe",Convention of 1800: Peaceful cessation of Franco-American alliance. End of French privateer attacks on American shipping. American neutrality and renunciation of claims by France,John Adams,
First Barbary War,19th Century,1801-1805,"Mediterranean Sea, off the coast ofTripoli","United States, Sweden, Kingdom of Sicily, Malta Protectorate, Kingdom of Portugal, Sultanate of Morocco","Ottoman Tripolitania, Sultanate of Morocco",US-allied victory,Thomas Jefferson,
Tecumseh's War,19th Century,1810-1813,Northwest River Ohio,United States,Tecumseh's Confederacy,US victory,James Madison,
War of 1812,19th Century,1812-1815,Eastern and Central North America,"United States, Choctaw Nation, Cherokee Nation, Creek Allies","United Kingdom, Tecumseh's Confederacy, Spain(1814)",Inconclusive/Other Result: Treaty of Ghent. Military stalemate; both sides' invasion attempts repulsed. Status quo ante bellum. Defeat ofTecumseh's Confederacy. Burning of Washington including the White House and the Capitol,James Madison,
Creek War,19th Century,1813-1814,Southern United States,"United States, Lower Creeks, Cherokee Nation, Choctaw Nation",Red Stick Creek,US-allied victory:Treaty of Fort Jackson,James Madison,
Second Barbary War,19th Century,1815,Mediterranean Sea and the Barbary States,United States,Deylik of Algiers,US victory,James Madison,
First Seminole War,19th Century,1817-1818,"Pensacola,Spanish FloridaBarracks and tents atFort BrookenearTampa Bay",United States,"Seminole, Spanish Florida",US victory: Spain cedes Spanish Florida to the United States in the Adams-Onís Treaty of 1819. The United States forcibly relocates Seminole in northern Florida to a reservation in the center of the peninsula in the Treaty of Moultrie Creek of 1823,James Monroe,
Arikara War,19th Century,1823,Missouri River ,"United States, Sioux",Arikara,Inconclusive/Other Result: White Peace treaty agreed by US Col Leavenworth,James Monroe,
Winnebago War,19th Century,1827,Illinois and Michigan Territory,"United States, Choctaw Nation","Prairie La Crosse, Ho-Chunks",US-allied victory: Ho-Chunkscede lead mining region to the United States,John Quincy Adams,
Black Hawk War,19th Century,1832,Illinois and Michigan Territory ,"United States, Ho-Chunk, Menominee, Dakota, Potawatomi","Black Hawk's, British Band, Ho-Chunk, and Potawatomiallies",US-allied victory: End of Native armed resistance to U.S. expansion in the Old Northwest. Black Hawk Purchase (1832). The United States purchases Potawatomiland in theTreaty of Tippecanoe (1832). The United States purchases the rest of Potawatomi land west of theMississippi River in theTreaty of Chicago (1833).,Andrew Jackson,
Second Seminole War,19th Century,1835-1842,"Florida,United States ",United States,Seminole,"US victory: Approximately 3,800 Seminoles transported to the Indian Territory. Approximately 300 remain in Everglades","Andrew Jackson (March 4, 1829 - March 4, 1837), Martin Van Buren (March 4, 1837 - March 4, 1841), William Henry Harrison (March 4, 1841 - April 4, 1841), John Tyler (April 4, 1841 -March 4, 1845)",
Texas Comanche Wars,19th Century,1836-1875,South-central United States,"Republic of Texas, United States",Comanche,US victory,"Andrew Jackson (March 4, 1829 - March 4, 1837), Martin Van Buren (March 4, 1837 - March 4, 1841), William Henry Harrison (March 4, 1841 - April 4, 1841), John Tyler (April 4, 1841 -March 4, 1845), James K. Polk (March 4, 1845 - March 4, 1849), Zachary Taylor (March 4, 1849 - July 9, 1850), Millard Fillmore (July 9, 1850 - March 4, 1853), Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869), Ulysses S. Grant (March 4, 1869 - March 4, 1877)",
Mexican-American War,19th Century,1846-1848,"Texas, New Mexico, California and Mexico","United States, California Republic",Mexico,US-allied victory: Treaty of Guadalupe Hidalgo. Mexican Cession. Mexican recognition of US sovereignty overTexas and California (among other territories).,James K. Polk,
Cayuse War,19th Century,1847-1855,Oregon ,United States,Cayuse,US victory: Cayusereduced in numbers and forced to cede most of their lands,"James K. Polk (March 4, 1845 - March 4, 1849), Zachary Taylor (March 4, 1849 - July 9, 1850), Millard Fillmore (July 9, 1850 - March 4, 1853), Franklin Pierce (March 4, 1853 - March 4, 1857)",
Apache Wars,19th Century,1849-1924,Southwestern United States ,United States,"Apache, Ute, Yavapai",US victory: Apaches moved to reservations,"James K. Polk (March 4, 1845 - March 4, 1849), Zachary Taylor (March 4, 1849 - July 9, 1850), Millard Fillmore (July 9, 1850 - March 4, 1853), Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869), Ulysses S. Grant (March 4, 1869 - March 4, 1877), Rutherford B. Hayes (March 4, 1877 - March 4, 1881), James A. Garfield (March 4, 1881- September 19, 1881), Chester A. Arthur (September 19, 1881 - March 4, 1885), Grover Cleveland (March 4, 1885 - March 4, 1889), Benjamin Harrison (March 4, 1889- March 4, 1893), Grover Cleveland (March 4, 1893 - March 4, 1897), William McKinley (March 4, 1897 - September 14, 1901), Theodore Roosevelt (September 14, 1901 - March 4, 1909), William Howard Taft (March 4, 1909 - March 4, 1913), Woodrow Wilson (March 4, 1913 - March 4, 1921), Warren G. Harding (March 4, 1921 - August 2, 1923), Calvin Coolidge (August 2, 1923 - March 4, 1929)",
Navajo Wars,19th Century,1849-1866,New Mexico ,United States,Navajo Nation,US victory: Long Walk of the Navajo. Navajos moved to reservations,"James K. Polk(March 4, 1845 - March 4, 1849)Zachary Taylor(March 4, 1849 - July 9, 1850)Millard Fillmore(July 9, 1850 - March 4, 1853)Franklin Pierce(March 4, 1853 - March 4, 1857)James Buchanan(March 4, 1857 - March 4, 1861)Abraham Lincoln(March 4, 1861 - April 15, 1865)Andrew Johnson(April 15, 1865 - March 4, 1869)",
Bleeding Kansas,19th Century,1854-1861,Kansas and Missouri ,Anti-slavery settlers (Free-Staters),Pro-slavery settlers (Border Ruffians),"Free-Stater victory: Kansas admitted as a free state on January 29, 1861.","Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861)",
Puget Sound War,19th Century,1855-1856,Washington,"United States, Snoqualmie","Nisqually, Muckleshoot, Puyallup, Klickitat, Haida, Tlingit","US victory: Indians relocated to Siletz, Grand Ronde and Coast Reservations",Franklin Pierce,
Rogue River Wars,19th Century,1855-1856,Rogue Valley,United States,Tututni,"US victory: Indians relocated to Siletz, Grand Ronde and Coast Reservations",Franklin Pierce,
Third Seminole War,19th Century,1855-1858,"Pensacola,Florida",United States,Seminole,"US victory: By late 1850s, most Seminoles forced to leave their land; a few hundred remain deep in theEverglades on land unwanted by white settlers","Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",
Yakima War,19th Century,1855-1858,Washington Territory ,"United States, Snoqualmie","Yakama, Walla Walla tribe, Umatilla tribe, Nez Perce tribe, Cayuse tribe",US victory,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",
Second Opium War,19th Century,1856-1859,China  ,"British Empire, French Empire, United States",China,US victory: Treaties of Tientsin. Kowloon Peninsula and Stonecutters Island ceded to the United Kingdom as part of British Hong Kong,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",
Utah War,19th Century,1857-1858,Utah Territory and Wyoming,United States,Deseret/Utah Mormons (Nauvoo Legion),Inconclusive/Other Result: Resolution through negotiation. Brigham Young replaced as governor of the territory. Full amnesty for charges of sedition and treason issued to the citizens of Utah Territory by President James Buchanan on the condition that they accept American Federal authority,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",
Reform War,19th Century,1858-1866,Mexico,"Liberals, United States",Conservatives,Liberals- US victory,"Franklin Pierce (March 4, 1853 - March 4, 1857), James Buchanan (March 4, 1857 - March 4, 1861), Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",
Pig War,19th Century,1859,San Juan Islands ,"United States, Washington Territory","United Kingdom, Colony of Vancouver Island",Inconclusive/Other Result: Treaty of Washington. Mostly a bloodless war- San Juan Islands awarded to the United States following third-party arbitration,James Buchanan,
John Brown's Raid on Harpers Ferry,19th Century,1859,West Virginia ,United States,"Abolitionist, Insurgents",US victory,James Buchanan,
First and Second Cortina War,19th Century,1859-1861,Texas and Mexico,"United States, Confederate States, Mexico",Cortinista bandits,US-allied victory,James Buchanan,
Paiute War,19th Century,1860,"Pyramid Lake,Nevada",United States,"Paiute, Shoshone, Bannock",US victory,James Buchanan,
American Civil War,19th Century,1861-1865,"Southern United States, Indian Territory, Northeastern United States, Western United States, Atlantic Ocean ","United States, Indian Home Guard, Seminole Nation (Western), Seminole Nation (Florida), Muskogee Nation","Confederate States, Cherokee Nation, Choctaw Nation, Catawba, Chickasaw Nation (part), Muskogee Nation (part), Seminole Nation (Western) (part), Comanche Nation (part)",US victory: Dissolution of the Confederate States. U.S.territorial integrity preserved. Beginning of the Reconstruction Era. U.S. Federal government expands further control over land and railroad rights in theIndian Territory.,Abraham Lincoln,
Yavapai Wars,19th Century,1861-1875,Arizona,United States,"Yavapai, Apache, Yuma, Mohave",US victory,"Abraham Lincoln(March 4, 1861 - April 15, 1865)Andrew Johnson(April 15, 1865 - March 4, 1869)Ulysses S. Grant(March 4, 1869 - March 4, 1877)",
Dakota War of 1862,19th Century,1862,Minnesota and Dakota ,United States,Dakota Sioux,US victory,Abraham Lincoln,
Colorado War,19th Century,1863-1865,"Colorado, Wyoming, and Nebraska",United States,"Cheyenne, Arapaho, Sioux",Inconclusive/Other Result: Military and congressional hearings against John Chivington,Abraham Lincoln,
Snake War,19th Century,1864-1868,,United States,"Paiute, Bannock, Shoshone",US victory,"Abraham Lincoln (March 4, 1861 - April 15, 1865), Andrew Johnson (April 15, 1865 - March 4, 1869)",
Powder River War,19th Century,1865,Powder River State,United States,"Sioux, Cheyenne, Arapaho",Inconclusive,Andrew Johnson,
Red Cloud's War,19th Century,1866-1868,Powder River State,"United States, Crow Nation","Lakota, Cheyenne, Arapaho",Lakota-allied victory: Treaty of Fort Laramie (1868). Legal control of Powder River Country ceded to Native Americans. Creation of the Great Sioux Reservation(including theBlack Hills),Andrew Johnson,
Formosa Expedition,19th Century,1867,"Hengchun, Taiwan, Qing China",United States,Paiwan,Paiwan victory,Andrew Johnson,
Comanche Campaign,19th Century,1867-1875,Western United States  ,United States,"Cheyenne, Arapaho, Comanche, Kiowa",US victory,"Andrew Johnson (April 15, 1865 - March 4, 1869), Ulysses S. Grant (March 4, 1869 - March 4, 1877)",
United States expedition to Korea,19th Century,1871,Ganghwa Island ,United States,Joseon dynasty,Inconclusive/Other Result: American military victory. American diplomatic failure. Withdrawal of American forces. Korea retains isolationist policies. Eventual signing of the United States-Korea Treaty of 1882,Ulysses S. Grant,
Modoc War,19th Century,1872-1873,California and Oregon ,United States,Modoc,US victory,Ulysses S. Grant,
Red River War,19th Century,1874-1875,Texas,United States,"Cheyenne, Arapaho, Comanche, Kiowa",US victory: End to the Texas-Indian Wars,Ulysses S. Grant,
Las Cuevas War,19th Century,1875,Texas and Mexico ,United States,Mexican bandits,US victory: Cattle returned to Texas,Ulysses S. Grant,
Great Sioux War of 1876,19th Century,1876-1877,"Montana, Dakota and Wyoming ",United States,"Lakota, Dakota Sioux, Northern Cheyenne, Arapaho",US victory: Legal control of Powder River Country ceded to the United States,Ulysses S. Grant,
Buffalo Hunters' War,19th Century,1876-1877,Texas and Oklahoma,United States,"Comanche, Apache",US victory,Ulysses S. Grant,
Nez Perce War,19th Century,1877,"Oregon, Idaho, Wyoming, and Montana ",United States,"Nez Perce, Palouse",US victory,Rutherford B. Hayes,
Bannock War,19th Century,1878,"Idaho, Oregon, and Wyoming",United States,"Bannock, Shoshone, Paiute",US victory,Rutherford B. Hayes,
Cheyenne War,19th Century,1878-1879,"Oklahoma, Kansas, Nebraska, South Dakota and Montana ",United States,Cheyenne,US victory,Rutherford B. Hayes,
Sheepeater Indian War,19th Century,1879,Idaho,United States,Shoshone,US victory,Rutherford B. Hayes,
Victorio's War,19th Century,1879-1880,Mexico,"United States, Mexico",Apache,US-allied victory,Rutherford B. Hayes,
White River War,19th Century,1879,Colorado ,United States,Ute,US victory,Rutherford B. Hayes,
Egyptian Expedition,19th Century,1882,Alexandria  ,United States,Egypt,US victory,Chester A. Arthur,
Crow War,19th Century,1887,Montana ,United States,Crow people,US victory,Grover Cleveland,
Ghost Dance War,19th Century,1890-1891,South Dakota ,United States,Sioux,US victory,Benjamin Harrison,
Garza War,19th Century,1891-1893,Texas and Mexico,"Mexico, United States",Garzistas,US-allied victory,Benjamin Harrison,
Yaqui Wars,19th Century,1896-1918,Arizona and Mexico ,"United States, Mexico","Yaqui, Pima, Opata",US-allied victory,"Grover Cleveland (March 4, 1893 - March 4, 1897), William McKinley (March 4, 1897 - September 14, 1901), Theodore Roosevelt (September 14, 1901 - March 4, 1909), William Howard Taft (March 4, 1909 - March 4, 1913), Woodrow Wilson (March 4, 1913 - March 4, 1921)",
