ID,Name
276,Puyallup
277,Klickitat
278,Haida
279,Tlingit
280,Tututni
281,Yakama
282,Walla Walla tribe
283,Umatilla tribe
284,Nez Perce tribe
285,Cayuse tribe
286,Deseret/Utah Mormons (Nauvoo Legion)
287,Conservatives
288,Colony of Vancouver Island
289,Abolitionist
290,Insurgents
291,Cortinista bandits
292,Paiute
293,Shoshone
294,Bannock
295,Chickasaw Nation (part)
296,Muskogee Nation (part)
297,Seminole Nation (Western) (part)
298,Comanche Nation (part)
299,Yuma
300,Mohave
301,Dakota Sioux
302,Cheyenne
303,Arapaho
304,Lakota
305,Paiwan
306,Kiowa
307,Joseon dynasty
308,Modoc
309,Mexican bandits
310,Northern Cheyenne
311,Nez Perce
312,Palouse
313,Crow people
314,Garzistas
315,Yaqui
316,Pima
317,Opata
318,Mataafans
319,Guam
320,Puerto Rico
321,(1899–1902) Philippine Republic
322,Negros Republic
323,Zamboanga Republic
324,Limited Foreign Support:Empire of Japan
325,Shishi
326,(1902-1906) Tagalog Republic
327,Irrenconcilables
328,Moro
329,Remnants of the Sulu Sultanate
330,Boxers
331,China (from 1900)
332,Creek
333,Supported by:German Empire
334,Cuban PIC
335,Nicaraguan Liberals
336,Sandinistas
337,Haitian Rebels
338,Dominican Republic
339,Ottoman Empire
340,Kingdom of Bulgaria
341,Russian SFSR
342,Far Eastern Republic
343,Mongolian Communists
344,Nazi Germany
345,Soviet Union (in 1939–1941)
346,Kingdom of Hungary
347,Slovak Republic
348,Independent State of Croatia
349,Finland
350,Kingdom of Iraq
351,Manchukuo
352,Mengjiang
353,North Korea
354,Soviet Union
355,Supported by:East Germany
356,Hungarian People's Republic
357,Polish People's Republic
358,Romanian People's Republic
359,People's Republic of Bulgaria
360,North Vietnam
361,Viet Cong
362,Pathet Lao
363,Khmer Rouge
364,Czechoslovak Socialist Republic
365,Socialist Republic of Romania
366,Supported by:China
367,East Germany
368,Lebanese opposition: INM
369,LCP
370,PSP
371,Dominican Constitutionalists
372,National United Front of Kampuchea
373,Khmer Rumdo
374,Khmer Việt Minh
375,Việt Cộng
376,Lebanese National Movement. Jammoul
377,PLO
378,Amal Movement
379,Iran
380,Islamic Revolutionary Guard Corps
381,Hezbollah
382,Islamic Jihad Organization
383,Islamic Unification Movement
384,Arab Deterrent Force
385,South Yemen
386,PRG of Grenada
387,Military advisors:Soviet Union
388,Bulgaria
389,Panama
390,Somali National Alliance
391,Republika Srpska
392,Serbian Krajina
393,Western Bosnia
394,FR Yugoslavia
395,Taliban (Haqqani network)
396,Allied groups (Hezb-e-Islami Gulbuddin
397,al-Qaeda
398,Islamic Jihad Union - Islamic Movement of Uzbekistan)
399,Taliban splinter groups (Fidai Mahaz)
400,IS-Affiliates:Islamic State – Khorasan Province
