ID,Side,Participant ID,War ID
318,Allies,128,90
319,Allies,90,90
320,Allies,0,91
321,Allies,49,91
322,Allies,168,91
323,Allies,161,91
324,Allies,169,91
325,Allies,170,91
326,Allies,90,91
327,Allies,52,91
328,Allies,171,91
329,Allies,172,91
330,Allies,123,91
331,Allies,87,91
332,Allies,173,91
333,Allies,70,91
334,Allies,50,91
335,Allies,51,91
336,Allies,174,92
337,Allies,175,92
338,Allies,176,92
339,Allies,0,92
340,Allies,70,92
341,Allies,87,92
342,Allies,101,92
343,Allies,123,92
344,Allies,172,92
345,Allies,90,92
346,Allies,104,92
347,Allies,103,92
348,Allies,102,92
349,Allies,71,92
350,Allies,168,92
351,Allies,128,92
352,Allies,49,92
353,Allies,0,93
354,Allies,91,93
355,Allies,107,93
356,Allies,177,94
357,Allies,178,94
358,Allies,179,94
359,Allies,176,94
360,Allies,0,94
361,Allies,70,94
362,Allies,87,94
363,Allies,180,94
364,Allies,101,94
365,Allies,123,94
366,Allies,172,94
367,Allies,181,94
368,Allies,90,94
369,Allies,104,94
370,Allies,103,94
371,Allies,102,94
372,Allies,71,94
373,Allies,91,94
374,Allies,168,94
375,Allies,128,94
376,Allies,49,94
377,Allies,182,95
378,Allies,183,95
379,Allies,0,95
380,Allies,87,95
381,Allies,49,95
382,Allies,50,95
383,Allies,51,95
384,Allies,176,95
385,Allies,180,95
386,Allies,101,95
387,Allies,184,95
388,Allies,172,95
389,Allies,103,95
390,Allies,90,95
391,Allies,89,95
392,Allies,185,95
393,Allies,168,95
394,Allies,128,95
395,Allies,0,96
396,Allies,186,96
397,Allies,166,96
398,Allies,165,96
399,Allies,160,96
400,Allies,164,96
401,Allies,187,96
402,Allies,188,96
403,Allies,189,96
404,Allies,190,96
405,Allies,191,96
406,Allies,49,96
407,Allies,192,96
408,Allies,193,96
409,Allies,194,96
410,Allies,195,96
411,Allies,196,97
412,Allies,197,97
413,Allies,49,97
414,Allies,198,97
415,Allies,50,97
416,Allies,91,97
417,Allies,199,97
418,Allies,200,97
419,Allies,90,97
420,Allies,168,97
421,Allies,170,98
422,Allies,0,98
423,Allies,201,98
424,Allies,202,99
425,Allies,0,99
426,Allies,203,99
427,Allies,204,99
428,Allies,205,99
429,Allies,206,99
430,Allies,207,99
